Files,Elements,Subsets,LB,Scores_GA,Gap_GA,Time_GA,Scores_VND,Gap_VND,Time_VND,Scores_LS,Gap_LS,Time_LS
scp41.txt,200,1000,194,476,2.454,378.0693,460,2.371,54.82464,468,2.412,194.06557
scp42.txt,200,1000,219,600,2.74,409.9087,566,2.584,76.61517,591,2.699,168.79988
scpnrg1.txt,1000,10000,53,251,4.736,2975.2793,230,4.34,334.42087,235,4.434,341.88693
scpnrg2.txt,1000,10000,49,211,4.306,3639.6802,202,4.122,330.05762,203,4.143,330.25275
scpnrg3.txt,1000,10000,49,224,4.571,4571.991,208,4.245,331.1664,209,4.265,354.8021
scpnrg4.txt,1000,10000,51,227,4.451,2781.265,225,4.412,311.72333,223,4.373,382.94745
scpnrg5.txt,1000,10000,51,231,4.529,2016.3799,223,4.373,323.2983,225,4.412,319.95612
scpnrh1.txt,1000,10000,18,87,4.833,580.8112,78,4.333,308.1485,83,4.611,310.45367
scpnrh2.txt,1000,10000,18,88,4.889,756.74255,82,4.556,307.29575,85,4.722,349.5585
scpnrh3.txt,1000,10000,18,86,4.778,1452.4935,79,4.389,323.79974,78,4.333,351.95236
scpnrh4.txt,1000,10000,18,82,4.556,1051.9934,79,4.389,232.0975,80,4.444,349.35605
scpnrh5.txt,1000,10000,18,73,4.056,928.94934,72,4.0,302.0894,74,4.111,312.6265
Mean,866.6666666666666,8500.0,18.0,219.66666666666666,4.241583347320557,1795.2969970703125,208.66666666666666,4.009500026702881,269.6280822753906,212.83333333333334,4.079916477203369,313.8881530761719
